Category,Sub-Category,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,not_out,HS_numeric,is_outlier,has_batting_data
In Major Trophies,ICC World Test Champ,2019-2025,46,79.0,5.0,2617.0,254*,35.36,5059.0,51.72,5.0,11.0,7.0,296.0,11.0,True,254.0,False,True
In Major Trophies,Men's T20 Asia Cup,2016-2022,10,9.0,4.0,429.0,122*,85.8,325.0,132.0,1.0,3.0,1.0,40.0,11.0,True,122.0,False,True
In Major Trophies,Men's T20 World Cup,2012-2024,35,33.0,11.0,1292.0,89*,58.72,1003.0,128.81,0.0,15.0,2.0,111.0,35.0,True,89.0,False,True
In Finals,tournament finals,2009-2025,16,17.0,2.0,523.0,77,34.86,678.0,77.13,0.0,3.0,0.0,47.0,7.0,False,77.0,False,True
In Finals,tournament semi-finals,2011-2025,11,11.0,4.0,586.0,117,83.71,533.0,109.94,1.0,6.0,0.0,51.0,8.0,False,117.0,False,True
In Finals,tournament quarter-finals,2011-2015,2,2.0,0.0,27.0,24,13.5,41.0,65.85,0.0,0.0,0.0,1.0,0.0,False,24.0,False,True
In Finals,preliminary matches,2009-2025,172,197.0,34.0,7849.0,254*,48.15,10320.0,76.05,18.0,49.0,15.0,768.0,81.0,True,254.0,False,True
Batting Position,1st position,2008-2022,9,9.0,0.0,234.0,54,26.0,242.0,96.69,0.0,1.0,0.0,33.0,3.0,False,54.0,False,True
Batting Position,2nd position,2008-2024,15,15.0,2.0,483.0,122*,37.15,395.0,122.27,1.0,3.0,2.0,45.0,16.0,True,122.0,False,True
Batting Position,3rd position,2009-2026,329,332.0,62.0,15919.0,183,58.95,15934.0,99.9,47.0,100.0,23.0,1472.0,232.0,False,183.0,False,True
Batting Position,4th position,2009-2025,154,216.0,21.0,9840.0,254*,50.46,15607.0,63.04,33.0,32.0,12.0,1029.0,61.0,True,254.0,False,True
Batting Position,5th position,2010-2024,32,37.0,4.0,1237.0,107,37.48,2394.0,51.67,3.0,7.0,1.0,141.0,7.0,False,107.0,False,True
Batting Position,6th position,2011-2020,8,12.0,1.0,453.0,116,41.18,813.0,55.71,1.0,3.0,2.0,46.0,3.0,False,116.0,False,True
Batting Position,7th position,2009-2011,5,5.0,1.0,49.0,27,12.25,50.0,98.0,0.0,0.0,0.0,6.0,0.0,False,27.0,False,True
Captain Status,is captain,2013-2022,213,250.0,35.0,12883.0,254*,59.92,16847.0,76.47,41.0,58.0,16.0,1280.0,138.0,True,254.0,False,True
Captain Status,is not captain,2008-2026,346,376.0,56.0,15332.0,186,47.91,18588.0,82.48,44.0,88.0,24.0,1492.0,184.0,False,186.0,False,True
